Fellow,Year,Country,University,Citation
Hussein Abbass,2020,Australia,University of New South Wales,For contributions to evolutionary learning and optimization
Xiaoli Li,2024,Singapore,Institute for Infocomm Research,For contributions to machine learning models.
David Abramson,2016,Australia,University of Queensland,"For contributions to software tools for high performance, parallel, and distributed computing"
Raj Acharya,2010,United States,Pennsylvania State University,For contributions to biomedical imaging and bioinformatics
Brice Achkir,2014,France,Télécom Paris,For contributions to diagnostics of physical layer design in gigabit digital transmission systems
Edward Adelson,2019,United States,Massachusetts Institute of Technology,For contributions to image representation and analysis in computer vision
Sarita Adve,2012,United States,University of Illinois Urbana-Champaign,For contributions to shared memory semantics and parallel computing
Gail-Joon Ahn,2023,United States,Arizona State University,For development of applications of information and systems security
Robert Campbell Aitken,2013,United States,Cadence Design Systems,For contributions to testing and diagnosis of integrated circuits
Kiyoharu Aizawa,2016,Japan,University of Tokyo,For contributions to model-based coding and multimedia lifelogging
Kemal Akkaya,2023,USA,Florida International University,For contributions to routing and topology management in wireless ad hoc and sensor networks
Mohammad Alam,2014,United States,University of South Alabama,For contributions to pattern recognition and high resolution image reconstruction
Gustavo Alonso,2014,Switzerland,ETH Zurich,For contributions to data management and distributed systems
Srinivas Aluru,2010,USA,Georgia Institute of Technology,For contributions to computational biology
Nancy M. Amato,2010,USA,University of Illinois Urbana-Champaign,For contributions to the algorithmic foundations of motion planning in robotics and computational biology
James Anderson,2012,USA,University of North Carolina at Chapel Hill,For contributions to the implementation of soft-real-time systems on multiprocessor and multicore platforms
Grigoris Antoniou,2022,Greece,University of Crete,For contributions to knowledge representation within artificial intelligence and to the semantic web
Walid Aref,2018,USA,Purdue University,For contributions to spatio-temporal database indexing and query processing
Kohtaro Asai,2018,Japan,University of Tokyo,For contributions to video coding development and standardization
Krste Asanović,2014,USA,"University of California, Berkeley",For contributions to computer architecture
N. Asokan,2017,Finland,Aalto University,For contributions to system security and privacy
David Atienza,2016,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to design methods and tools for multiprocessor systems on chip
Vijayalakshmi Atluri,2023,United States,Rutgers University,For contributions to security and privacy for data and workflow systems
Ronald Azuma,2016,United States,Intel Labs,For contributions to augmented reality
Michael Backes,2019,Germany,CISPA Helmholtz Center for Information Security,For contributions to computer security and privacy
David Bader,2010,United States,New Jersey Institute of Technology,For contributions to parallel algorithms for combinatorial problems and computational biology
Ricardo Baeza-Yates,2011,Spain,Pompeu Fabra University,For contributions to the development of computer science
Nader Bagherzadeh,2014,United States,"University of California, Irvine",For contributions to the design and analysis of coarse-grained reconfigurable processor architectures
Chandrajit Bajaj,2014,United States,University of Texas at Austin,"For contributions to image processing, scientific visualization, and computational biology"
Theodore Baker,2012,United States,Florida State University,For contributions to real-time computing applications
Rajeev Balasubramonian,2021,United States,University of Utah,For contributions to in-memory computation and memory interface design
Cullen Bash,2022,United States,Hewlett Packard Labs,For contributions to improving the sustainability and energy efficiency of data center infrastructure
David Basin,2021,Switzerland,ETH Zurich,For contributions to formal methods for information security
Boualem Benatallah,2022,Australia,University of New South Wales,For contributions to declarative service composition and web services middleware
Ewert Bengtsson,2015,Sweden,Uppsala University,For contributions to quantitative microscopy and biomedical image analysis
Valeria Bertacco,2017,United States,University of Michigan,For contributions to computer-aided verification and reliable system design
Suparna Bhattacharya,2022,India,Indian Institute of Science,For contributions to Linux kernel for enterprise and advanced data processing systems
Achintya Bhowmik,2021,United States,"Augmented Reality Division, Intel",For leadership in perceptual augmentation devices
Ricardo Bianchini,2015,United States,Rutgers University,For contributions to server and data center energy management
Mark Billinghurst,2023,New Zealand,University of Auckland,For contributions to augmented and virtual reality
Kenneth P. Birman,2015,United States,Cornell University,For leadership in distributed computing and management of distributed systems
Gautam Biswas,2014,United States,Vanderbilt University,"For contributions to the modeling and simulation, diagnosis, and fault-adaptive control of complex dynamic systems"
M. Brian Blake,2022,United States,Georgia State University,For contributions to web-based software engineering
Aaron Bobick,2015,United States,Washington University in St. Louis,For contributions to activity recognition in computer vision
Wim Bogaerts,2021,Belgium,Ghent University,For contributions to design methodologies for silicon photonics components and circuits
Ernest Booch,2010,United States,IBM,For contributions in software engineering and creation of the Unified Modeling Language
Athman Bouguettaya,2010,Australia,The University of Sydney,For contributions to large scale autonomous and heterogeneous databases and service-oriented computing
Lionel Briand,2010,Luxembourg,University of Luxembourg,For contributions to testing of object-oriented software systems
Richard Brown,2014,United States,University of Utah,For contributions to microsystem design
Carlos Busso,2023,United States,University of Texas at Dallas,For contributions to speech and multimodal affective signal processing and their technology applications
Rajkumar Buyya,2015,Australia,University of Melbourne,For contributions to cloud computing
Marco Caccamo [de],2018,,,For contributions to the theory and applications of hard real-time multicore computing
Kenneth Calvert,2012,United States,University of Kentucky,For contributions to internet topology and active networks
L. Jean Camp,2018,United States,Indiana University Bloomington,For research in human-centered risk and security
Tracy Camp,2016,United States,Colorado School of Mines,For contributions to wireless networking
Guohong Cao,2011,United States,Pennsylvania State University,For contributions to algorithm and protocol design for mobile ad hoc and sensor networks
Jiannong Cao,2015,Hong Kong,Hong Kong Polytechnic University,For contributions to distributed computing in mobile wireless networks
Jinde Cao,2016,China,Southeast University,For contributions to the analysis of neural networks
Michael Carey,2017,United States,"University of California, Irvine",For contributions to design and engineering of high-performance and concurrent database systems
Kathleen Carley,2014,United States,Carnegie Mellon University,For contributions to multi-dimensional human and cyber dynamic networks
Ümit Çatalyürek,2016,United States,Georgia Institute of Technology,For contributions to combinatorial scientific computing and parallel computing
Joseph Cavallaro,2015,United States,Rice University,For contributions to VLSI architectures and algorithms for signal processing and wireless communications
Samarjit Chakraborty,2022,Germany,Technical University of Munich,For contributions to system-level timing analysis of cyber-physical systems
Edward Chang,2017,Taiwan,Taiwan AI Labs,For contributions to scalable machine learning
Elizabeth Chang,2015,Australia,Curtin University,For contributions to industrial informatics and cyber physical systems
Yuan-Hao Chang,2023,Taiwan,Academia Sinica,For contributions to non-volatile memory reliability
Edoardo Charbon,2017,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to solid-state single photon avalanche detectors and their applications in imaging
Raja Chatila,2013,France,Sorbonne University,For contributions to robot navigation and cognitive robotics
Baoquan Chen,2020,China,Peking University,For contributions to spatial data visualization
Deming Chen,2019,United States,University of Illinois Urbana-Champaign,For contributions to FPGA high-level synthesis
Guihai Chen,2023,China,Shanghai Jiao Tong University,For contributions to large-scale distributed network architecture
Haibo Chen,2023,China,Shanghai Jiao Tong University,For contributions to the design and implementation of distributed operating systems
Jinjun Chen,2022,Australia,Swinburne University of Technology,For contributions to scalable architecture for cloud data storage and processing
Shigang Chen,2016,United States,University of Florida,For contributions to quality of service provisioning and policy-based security management in computer networks
Shu-Ching Chen,2016,United States,Florida International University,For contributions to multimedia data and disaster information management
Xilin Chen,2016,China,"Institute of Computing Technology, Chinese Academy of Sciences",For contributions to machine vision for facial image analysis and sign language recognition
Yingying Chen,2020,United States,Rutgers University,For contributions to mobile computing and mobile security
Yiran Chen,2018,United States,Duke University,For contributions to spintronic memory
Xiuzhen Cheng,2015,United States,George Washington University,For contributions to localization and detection in sensor networks
Kwok Cheung,2014,United States,Alstom Grid Inc.,For development and implementation of energy and market management systems for control centers
Shing Cheung,2023,Hong Kong,City University of Hong Kong,For contributions to testing methodologies and bug management for software
Yiu-Ming Cheung,2018,Hong Kong,Hong Kong Baptist University,For contributions to cluster analysis and visual computing
Carla Fabiana Chiasserini,2018,Italy,Politecnico di Torino,For contributions to energy efficiency and cooperation in wireless networks
Jong Choi,2019,South Korea,Yonsei University,For contributions to debugging and compilers for parallel computing
Kiyoung Choi,2017,South Korea,Seoul National University,"For contribution to low-power, real-time, and reconfigurable systems"
Chee-Yee Chong,2022,USA,BAE Systems,For contributions to information fusion methods for multi-sensor tracking
Paul Chow,2019,Canada,University of Toronto,For contributions to the programmability of FPGA-based computing
Henrik Christensen,2015,USA,"University of California, San Diego",For contributions to estimation methods for robot localization and mapping
Walter Cleaveland,2022,USA,North Carolina State University,For contributions to verification tools for finite-state and cyber-physical systems
Christopher Clifton,2020,USA,Purdue University,For contributions to privacy protection in data analysis
Peter Clout,2019,USA,"University of California, San Diego",For leadership in data acquisition and control in nuclear and plasma sciences
Laurent Cohen,2010,France,Sorbonne Université,For contributions to computer vision technology for medical imaging
Armando Colombo,2016,Germany,University of Applied Sciences Emden/Leer,For contributions to industrial cyber-physical systems
Michael Condry,2019,USA,Stanford University,For leadership in the development of semiconductor and computing technologies
Sorin Coțofană,2017,Netherlands,Delft University of Technology,For contributions to nanocomputing architectures and paradigms
Thomas Coughlin,2018,USA,Santa Clara University,For leadership in consumer electronics digital storage technology
Lorrie Cranor,2016,USA,Carnegie Mellon University,For contributions to privacy engineering
Mark Crovella,2012,USA,Boston University,For contributions to the measurement and analysis of networks and distributed systems
Carolina Cruz-Neira,2020,USA,University of Central Florida,For contributions to virtual reality
Robert Cunningham,2017,USA,MIT Lincoln Laboratory,For leadership in computer security
Manuel Dabreu,2014,United States,University of Miami,For contributions to the design of resilient manufacturing processes for electronic products
Gautam Das,2020,USA,University of Texas at Arlington,For contributions to search and ranking in databases and deep web querying
Sajal Das,2015,USA,Missouri University of Science and Technology,For contributions to parallel and distributed computing
Dipankar Dasgupta,2015,USA,University of Memphis,For contributions to immunological computation and bio-inspired cyber security
Mihai Datcu,2013,Germany,German Aerospace Center (DLR),For contributions to information mining of high resolution synthetic aperature radar and optical earth observation images
Kerstin Dautenhahn,2019,UK,University of Hertfordshire,For contributions to social robotics and human-robot interaction
Jack Davidson,2020,USA,University of Virginia,"For contributions to compilers, computer security and computer science education"
Leila De Floriani,2016,USA,"University of Maryland, College Park",For contributions to geometric modeling and visualization
Bronis De Supinski,2021,USA,Lawrence Livermore National Laboratory,For leadership in the design and use of large-scale computing systems
Filip De Turck,2021,Belgium,Ghent University,For contributions to network resource management and adaptive service delivery
Vivek De,2011,United States,Intel Corporation,For contributions to low power microprocessor design
Joseph Decuir,2015,United States,University of Washington,For contributions to computer graphics and video games
Ewa Deelman,2018,United States,University of Southern California,For contributions to scientific workflow management
Andre Dehon,2023,United States,University of Pennsylvania,For contributions to reconfigurable computing and FPGAs
Robert Deng,2016,Singapore,Singapore Management University,"For contributions to security algorithms, protocols and systems"
Sujit Dey,2014,United States,"University of California, San Diego",For contributions to the design and testing of low-power systems and system-on-chips
Rüdiger Dillmann,2012,Germany,Karlsruhe Institute of Technology,For contributions to robot programming and human-centerd technologies
Peter Dinda,2015,United States,Northwestern University,For contributions to virtualization technologies in adaptive and parallel computing
Wei Ding,2023,United States,University of Massachusetts Boston,For contributions to data mining and Big Data research in scientific domains
Ajay Divakaran,2011,United States,SRI International,For contributions to multimedia content analysis
David Doermann,2014,United States,University at Buffalo,For contributions to research and development of automatic analysis and processing of document page imaging
Miwako Doi,2011,Japan,National Institute of Advanced Industrial Science and Technology,For contributions to the human interface of document processing
Shlomi Dolev,2020,Israel,Ben-Gurion University of the Negev,For contributions to distributed computing and self-stabilization
Josep Domingo Ferrer,2012,Spain,Universitat Rovira i Virgili,"For contributions to privacy, security, and functionality in statistical databases"
Dov Dori,2017,Israel,Technion – Israel Institute of Technology,For contributions to model-based systems engineering and document analysis recognition
Frederick Douglis,2017,United States,Perspecta Labs,For contributions to computer systems resource utilization and efficiency
Falko Dressler [de],2017,,,For contributions to adaptive and self-organizing communication protocols in sensor and vehicular networks
Jean-Luc Dugelay,2012,France,EURECOM,For contributions to three dimensional imaging for security applications
Schahram Dustdar,2016,Austria,TU Wien,For contributions to elastic computing for cloud applications
Ashutosh Dutta,2020,United States,Johns Hopkins University,For leadership in mobility management and security monitoring in mobile networks
Sandhya Dwarkadas,2017,United States,University of Virginia,For contributions to shared memory and reconfigurability
Touradj Ebrahimi,2020,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to visual information representation and assessment of quality of experience in multimedia
Lieven Eeckhout,2018,Belgium,Ghent University,For contributions in computer architecture performance analysis and modeling
Rudolf Eigenmann,2020,United States,Purdue University,For contributions to compilers for high-performance computing
Tarek El-Bawab,2022,United States,Jackson State University,"For contributions to the definition, recognition, accreditation criteria, and program development of modern network-engineering education"
Ahmed K. Elmagarmid,2010,Qatar,Qatar Computing Research Institute,"For contributions to transaction management, data integration and quality"
Mootaz Elnozahy,2010,Saudi Arabia,King Abdullah University of Science and Technology,"For contributions to rollback-recovery, low-power computing, highly-available file systems, and reliable computing systems"
Natalie Enright Jerger,2021,Canada,University of Toronto,For contributions to networks-on-chip for many-core architectures
Irfan Essa,2012,United States,Georgia Institute of Technology,For contributions to computer vision and graphics
Joseph Evans,2019,United States,University of Kansas,For contributions to cognitive networks and deployment of defense networks
Babak Falsafi,2012,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to multiprocessor architecture and memory systems
Luca Fanucci,2019,Italy,University of Pisa,For the contributions to the design of Very-large-scale integration systems for network-on-chip
Steven Feiner,2018,United States,Columbia University,For contributions to augmented reality and computer graphics
Elena Ferrari,2013,Italy,University of Insubria,For contributions to security and privacy for data and applications
Bonnie Ferri,2022,United States,Georgia Institute of Technology,For contributions to hands-on learning and leadership in higher education
Robert Fish,2019,United States,Princeton University,For application of visual communications and networking
Patrick Flynn,2012,United States,University of Notre Dame,For contributions to biometric identification
Giancarlo Fortino,2022,Italy,University of Calabria,For contributions to Engineering of IoT-enabled Wearable Computing Systems
Ian Foster,2020,United States,University of Chicago,For contributions to grid computing and data transport infrastructures
Dimitrios Fotiadis,2019,Greece,University of Ioannina,For contributions to modelling and machine learning in biomedical data processing
Edward Fox,2017,USA,Virginia Tech,For leadership in digital libraries and information retrieval
Alejandro Federico Frangi,2014,UK,University of Leeds,For contributions to medical image analysis and image-based computational physiology
Edward Frank,2020,USA,Carnegie Mellon University,For leadership in commercialization of wireless solutions for mobile computing and communications
Robert Frankston,2011,USA,MIT,For contributions to the first electronic spread sheet and home networking
Michael Franz,2016,USA,"University of California, Irvine",For contributions to just-in-time compilation and to computer security through compiler-generated software diversity
Xiaoming Fu,2022,Germany,University of Göttingen,For contributions to resource management in edge computing and networking
Henry Fuchs,2015,USA,University of North Carolina at Chapel Hill,"For contributions to computer graphics, virtual and augmented reality"
Pascale Fung,2015,Hong Kong,Hong Kong University of Science and Technology,For contributions to human-machine interactions
Gregory Ganger,2011,USA,Carnegie Mellon University,For contributions to metadata integrity in file systems
Simson Garfinkel,2019,USA,Naval Postgraduate School,For contributions to digital forensics and computer security
Minos Garofalakis,2017,Greece,Technical University of Crete,For contributions to data streaming analytics
Alan Gatherer,2016,United States,Huawei Technologies USA,For contributions to systems-on-chip for 3G and 4G cellular systems
Johannes Gehrke,2020,United States,Cornell University,For contributions to data mining and data management systems
Alan D. George,2013,United States,University of Florida,For contributions to reconfigurable and high-performance computing
Phillip Gibbons,2014,United States,Carnegie Mellon University,For contributions to parallel computing and databases
Garth Gibson,2014,United States,Carnegie Mellon University,For contributions to the performance and reliability of transformative storage systems
Yolanda Gil,2021,United States,University of Southern California,For contributions to geoscience and scientific discovery with intelligent workflow systems
Juan Gilbert,2023,United States,University of Florida,For leadership in broadening participation in computing and contributions to accessible voting technologies
Dimitris Gizopoulos,2013,Greece,University of Athens,For contributions to self-testing and on-line error detection of microprocessor architectures
Fernando Gomide,2016,Brazil,University of Campinas,For contributions to fuzzy systems
Antonio Gonzalez,2014,Spain,Universitat Politècnica de Catalunya,For contributions to the design of energy-efficient and resilient processor architectures
Ramesh Govindan,2014,United States,University of Southern California,For contributions to computer networking applied to sensor networks
Manimaran Govindarasu,2015,United States,Iowa State University,For contributions to security of power grids
Susan Graham,2012,United States,"University of California, Berkeley",For contributions to programming language design and implementation and for service to the discipline of computer science
Bill Gropp,2010,United States,University of Illinois at Urbana-Champaign,For contributions to high performance computing and message passing
Xinping Guan,2018,China,Shanghai Jiao Tong University,For contributions to stability analysis for time-delay fuzzy systems and intelligent control of nonlinear systems
Leo Guibas,2012,United States,Stanford University,For contributions to algorithms for computational geometry
S Gunasekaran,2015,United States,University of Wisconsin-Madison,For contributions to high-performance computer vision algorithms for airborne applications
Baining Guo,2010,China,Tsinghua University,For contributions to surface appearance modeling and rendering in computer graphics
Minyi Guo,2018,China,Shanghai Jiao Tong University,For contributions to performance optimization and resource management of parallel and distributed systems
Song Guo,2020,Hong Kong,The Hong Kong Polytechnic University,For contributions to high performance and resilient distributed computing
Amar Gupta,2023,United States,University of Arizona,For contributions to banking transactions and healthcare practice
Adolfo Guzmán Arenas [es],2014,,,For contributions to consistent labeling for 3-D object recognition
Saman Halgamuge,2017,Australia,University of Melbourne,For contributions to computational intelligence in bioinformatics and mechatronics
Mary Hall,2020,United States,University of Utah,For contributions to compiler optimization and performance tuning
Dan Halperin,2015,Israel,Tel Aviv University,For contributions to robust geometric algorithms for robotics and automation
Gerhard Hancke,2016,South Africa,University of Pretoria,For contributions to wireless sensor networks
Edwin Hancock,2016,United Kingdom,University of York,For contributions to pattern recognition and computer vision
Charles Hansen,2012,United States,University of Utah,For contributions to visualization tools for large-scale scientific datasets
Chen He,2023,China,Shanghai Jiao Tong University,For contributions to test of automotive microcontrollers and microprocessors
Larry Heck,2016,United States,Georgia Institute of Technology,For leadership in applications of machine learning to spoken and text language processing
John Heidemann,2014,United States,University of Southern California,"For contributions to sensor networks, internet measurement and simulation"
Wolfgang Heidrich,2021,Canada,University of British Columbia,For contributions to high dynamic range display and computational cameras
Gernot Heiser,2016,Australia,University of New South Wales,For contributions to security and safety of operating systems
Constance Heitmeyer,2015,United States,Naval Research Laboratory,For contributions to formal methods for modeling and analyzing software system requirements
Abdelsalam Sumi Helal,2015,United States,University of Florida,For contributions to pervasive and mobile computing systems
Ahmed A-G Helmy,2019,United States,University of Southern California,For contributions to routing protocol design and mobility modeling
James Hendler,2010,United States,Rensselaer Polytechnic Institute,"For contributions to artificial intelligence, and development of the semantic web"
Joerg Henkel,2015,Germany,Karlsruhe Institute of Technology,For contributions to hardware/software codesign of embedded computing systems
Alan Hevner,2020,United States,University of South Florida,For contributions to design science and software engineering
James Hoe,2013,United States,Carnegie Mellon University,For contributions to high-level hardware design and synthesis
Thomas Hou,2014,United States,California Institute of Technology,For contributions to modeling and optimization of wireless networks
Ayanna Howard,2021,United States,The Ohio State University,For contributions to human-robot interaction systems
Sun-Yuan Hsieh,2022,Taiwan,National Cheng Kung University,For contributions to fault-tolerance for internet and cloud computing
Bin Hu,2023,USA,University of Wisconsin–Madison,For contributions to pervasive affective computing
